1,BCRP,MDR1,MRP1,MRP2,MRP3,MRP4,MRP5,MRP6,MRP7,MRP8,MRP9,SMILES
AZO GANTANOL; SULFAMETHOXAZOLE,-6.4,-5.7,-4.3,-5.5,-5.2,-4.1,-4.7,-3.3,-5.1,-4.5,-5.0,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1
AZO GANTRISIN; SULFISOXAZOLE,-6.9,-6.7,-4.8,-4.2,-5.0,-4.3,-4.2,-3.7,-4.4,-4.4,-5.6,Cc1noc([N-]S(=O)(=O)c2ccc(N)cc2)c1C
AZOLID; PHENYLBUTAZONE,-9.4,-8.0,-6.2,-3.8,-5.7,-4.6,-7.5,-3.7,-3.9,-6.5,-5.8,CCCCc1c([O-])n(-c2ccccc2)n(-c2ccccc2)c1=O
AZOPT; BRINZOLAMIDE,-5.6,-3.7,-4.4,-4.0,-5.3,-6.4,-2.7,-4.4,-5.2,-4.5,-4.8,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
AZULFIDINE EN-TABS; SULFASALAZINE,-10.3,-9.4,-6.9,-7.1,-6.9,-10.1,-12.5,-7.5,-5.7,-9.0,-7.4,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
BACLOFEN; BACLOFEN,-3.8,-5.7,-5.1,-6.4,-4.7,-7.0,-8.2,-5.1,-4.3,-6.3,-6.6,[NH3+]C[C@H](CC(=O)[O-])c1ccc(Cl)cc1
BACTRIM DS; TRIMETHOPRIM,-6.5,-7.1,-5.8,-4.2,-6.6,-5.1,-5.2,-4.1,-4.5,-5.5,-7.8,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
BACTROBAN; MUPIROCIN,-8.6,-10.4,-8.0,-10.4,-7.5,-10.7,-11.0,-6.8,-8.0,-8.0,-11.4,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
BALANCED SALT; SODIUM CITRATE,-4.2,-3.5,-5.8,-6.1,-4.5,-5.8,-9.9,-4.5,-3.4,-4.8,-4.4,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
BAROS; SODIUM BICARBONATE,-4.4,-3.1,-3.9,-4.2,-3.4,-5.0,-3.9,-3.7,-3.4,-4.0,-2.7,O=C(O)O
BC; SODIUM SULFATE,-2.0,-1.5,-2.7,-4.3,-3.1,-2.3,-5.6,-3.2,-1.3,-4.2,-5.7,O=S(=O)([O-])[O-]
BEKYREE; DESOGESTREL,-4.9,-7.4,-5.9,-4.4,-5.8,-5.8,-6.4,-3.5,-4.5,-6.2,-6.5,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
BELEODAQ; BELINOSTAT,-8.6,-7.9,-5.4,-6.5,-6.2,-7.6,-6.7,-5.6,-4.5,-6.8,-7.4,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
BELVIQ; LORCASERIN HYDROCHLORIDE,-5.8,-6.0,-4.1,-3.3,-3.5,-5.2,-4.4,-3.9,-4.7,-4.1,-3.6,C[C@H]1C[NH2+]CCc2ccc(Cl)cc21
BENDOPA; LEVODOPA,-6.6,-6.1,-5.8,-5.4,-4.6,-4.4,-7.7,-6.7,-5.2,-4.2,-5.6,[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]
BENEMID; PROBENECID,-5.1,-5.5,-5.5,-5.4,-5.1,-4.0,-9.2,-3.2,-3.0,-4.0,-6.8,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1
BENOQUIN; MONOBENZONE,-7.3,-5.4,-5.2,-4.4,-4.3,-5.7,-5.0,-3.7,-5.4,-4.7,-5.9,Oc1ccc(OCc2ccccc2)cc1
BENOXINATE HYDROCHLORIDE; BENOXINATE HYDROCHLORIDE,-7.6,-9.6,-5.1,-4.4,-5.0,-6.1,-6.0,-3.2,-4.8,-4.7,-6.5,O=[N+]([O-])c1cccc(Nc2cccc(C(F)(F)F)c2)c1
BENTYL; DICYCLOMINE HYDROCHLORIDE,-4.9,-7.0,-4.2,-4.1,-4.3,-5.6,-4.6,-2.8,-3.2,-4.8,-5.4,CC[NH+](CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
BENZTROPINE MESYLATE; BENZTROPINE MESYLATE,-5.9,-8.2,-5.8,-3.7,-4.8,-6.4,-6.4,-3.8,-3.6,-5.1,-6.0,C[N@@H+]1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
BENZYL BENZOATE; BENZYL BENZOATE,-7.4,-6.1,-4.1,-4.2,-4.8,-5.9,-3.8,-4.0,-4.1,-4.7,-5.3,O=C(OCc1ccccc1)c1ccccc1
BEPADIN; BEPRIDIL HYDROCHLORIDE,-7.8,-7.4,-5.1,-4.5,-6.4,-5.4,-6.9,-5.2,-4.7,-5.4,-6.5,CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1
BEROCCA PN; ASCORBIC ACID,-6.2,-6.5,-7.3,-6.5,-5.8,-7.1,-7.6,-5.9,-5.9,-6.3,-6.5,O=C1O[C@H]([C@@H](O)CO)[C@@H]([O-])C1=O
BEROCCA PN; BIOTIN,-4.8,-5.0,-4.6,-3.1,-4.1,-6.1,-6.8,-4.3,-3.7,-6.5,-7.3,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
BEROCCA PN; CYANOCOBALAMIN,0.0,-10.1,-9.7,-6.9,-9.3,-9.9,0.0,0.0,-8.5,-5.9,0.0,C/C1=C2/N=C(/C=C3\N/C(=C(/C)C4=C(CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)(N4)[C@@H]4N=C1[C@](C)(CCC(=O)NC[C@@H](C)O[P@@](=O)([O-])O[C@H]1[C@@H](O)[C@@H](n5cnc6cc(C)c(C)cc65)O[C@@H]1CO)[C@H]4CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
BEROCCA PN; FOLIC ACID,-9.0,-10.1,-8.2,-8.6,-7.8,-9.0,-12.7,-6.9,-7.6,-10.0,-10.0,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)nc2c(=O)[nH]1
BEROCCA PN; NIACINAMIDE,-5.6,-5.0,-3.9,-3.0,-3.9,-4.1,-4.9,-4.2,-4.0,-3.1,-4.5,NC(=O)c1cccnc1
BEROCCA PN; THIAMINE HYDROCHLORIDE,-2.3,-3.5,-5.4,-4.4,-5.3,-5.1,-7.1,-4.6,-5.3,-5.4,-5.0,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
BETAPACE AF; SOTALOL HYDROCHLORIDE,-4.8,-6.2,-5.3,-3.8,-6.6,-5.6,-5.9,-5.0,-5.2,-6.1,-4.9,CC(C)[NH2+]C[C@H](O)c1ccc(NS(C)(=O)=O)cc1
BETAXOLOL HYDROCHLORIDE; BETAXOLOL HYDROCHLORIDE,-8.2,-8.1,-6.2,-5.9,-6.9,-7.9,-6.3,-5.4,-5.7,-8.3,-6.1,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)c(C)c1
BETHANECHOL CHLORIDE; BETHANECHOL CHLORIDE,-2.6,-3.9,-3.8,-2.6,-3.8,-3.1,-3.8,-3.4,-4.4,-3.6,-3.1,C[C@H](C[N+](C)(C)C)OC(N)=O
BETIMOL; TIMOLOL,-5.3,-7.0,-5.2,-3.6,-5.6,-6.0,-6.8,-6.0,-4.6,-5.9,-5.5,CC(C)(C)[NH2+]C[C@H](O)COc1nsnc1N1CCOCC1
BETOPTIC PILO; PILOCARPINE HYDROCHLORIDE,-6.0,-5.6,-5.1,-4.8,-3.9,-4.2,-5.0,-4.4,-4.1,-4.4,-5.8,CC[C@@H]1C(=O)OC[C@@H]1Cc1c[nH+]cn1C
BEVESPI AEROSPHERE; FORMOTEROL FUMARATE,-9.5,-9.8,-5.3,-5.8,-8.2,-5.8,-5.9,-6.7,-7.4,-5.8,-5.4,COc1ccc([C@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
BEVESPI AEROSPHERE; GLYCOPYRROLATE,-7.7,-7.7,-6.0,-5.6,-5.9,-6.5,-7.4,-4.5,-4.7,-4.7,-6.4,C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1
BEXAROTENE; BEXAROTENE,-3.0,-8.5,-7.1,-4.5,-5.8,-7.4,-8.7,-3.2,-4.0,-7.4,-3.0,C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
BEXTRA; VALDECOXIB,-9.2,-9.1,-5.5,-6.1,-4.5,-5.7,-7.0,-5.9,-5.5,-6.1,-6.7,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
BIAXIN; CLARITHROMYCIN,-6.3,-9.1,-9.2,-7.1,-6.9,-7.3,-7.0,-5.3,-6.7,-3.5,-7.1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
BICALUTAMIDE; BICALUTAMIDE,-9.3,-9.4,-7.0,-6.2,-7.0,-7.8,-8.1,-7.0,-5.4,-6.6,-8.1,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
BICILLIN C-R 900/300; PENICILLIN G BENZATHINE,-6.3,-7.0,-5.8,-4.9,-5.7,-7.0,-9.4,-3.6,-4.7,-6.8,-6.5,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
BICNU; CARMUSTINE,-3.5,-4.5,-2.9,-4.1,-3.1,-3.3,-2.7,-0.9,-3.2,-2.4,-3.3,O=NN(CCCl)C(=O)NCCCl
BILTRICIDE; PRAZIQUANTEL,-9.0,-7.6,-6.4,-4.5,-7.3,-6.5,-6.1,-4.5,-4.6,-6.6,-5.9,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE; BISOPROLOL FUMARATE,-5.3,-4.3,-4.4,-5.0,-6.5,-7.6,-4.8,-6.6,-4.5,-5.2,-5.4,CC(C)[NH2+]C[C@@H](O)COc1ccc(COCCOC(C)C)cc1
BLOXIVERZ; NEOSTIGMINE METHYLSULFATE,-4.4,-5.7,-4.6,-4.4,-3.7,-4.2,-4.8,-2.4,-3.8,-3.8,-4.2,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
BORTEZOMIB; BORTEZOMIB,-8.5,-9.5,-7.1,-6.2,-8.2,-8.5,-8.4,-7.9,-7.4,-6.6,-8.4,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
BOSULIF; BOSUTINIB MONOHYDRATE,-6.6,-9.3,-7.6,-5.7,-6.4,-6.7,-7.4,-5.7,-4.6,-7.8,-2.6,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
BRETHAIRE; TERBUTALINE SULFATE,-5.9,-5.5,-5.0,-7.0,-4.4,-5.0,-6.2,-5.0,-5.4,-3.7,-6.1,CC(C)(C)[NH2+]C[C@@H](O)c1cc(O)cc(O)c1
BREVIBLOC DOUBLE STRENGTH IN PLASTIC CONTAINER; ESMOLOL HYDROCHLORIDE,-5.5,-5.7,-4.3,-3.8,-5.9,-5.0,-7.6,-4.9,-4.0,-5.8,-4.5,COC(=O)CCc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1
BRILINTA; TICAGRELOR,-11.3,-9.6,-10.3,-7.2,-8.0,-8.6,-7.2,-8.2,-5.3,-8.8,-9.0,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
BRISDELLE; PAROXETINE MESYLATE,-10.2,-8.2,-5.4,-5.5,-5.6,-5.6,-5.9,-3.1,-5.7,-5.8,-7.6,Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1
BRISTAMYCIN; ERYTHROMYCIN STEARATE,-5.9,-5.4,-2.8,-4.8,-2.2,-7.5,-7.6,-0.9,-2.4,-5.7,-4.3,CCCCCCCCCCCCCCCCCC(=O)[O-]
BRIVIACT; BRIVARACETAM,-7.3,-6.5,-4.3,-3.4,-5.2,-4.3,-6.2,-4.4,-5.0,-4.6,-6.2,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1
BROMANATE DM; BROMPHENIRAMINE MALEATE,-5.5,-6.3,-5.2,-3.2,-5.8,-5.0,-5.7,-3.4,-4.2,-5.5,-2.6,C[NH+](C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1
BROMANATE DM; DEXTROMETHORPHAN HYDROBROMIDE,-3.5,-6.5,-4.9,-4.0,-4.8,-6.5,-5.4,-3.3,-5.3,-5.5,-4.7,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)[N@@H+](C)CC3
BROMDAY; BROMFENAC SODIUM,-9.2,-8.1,-6.5,-5.3,-6.7,-8.0,-6.4,-4.4,-4.7,-7.1,-7.9,N[C@@H](CO)COc1cc(Cl)c(-c2noc(N3CCN(C(=O)C4CCCC4)CC3)n2)cc1F
BROMOCRIPTINE MESYLATE; BROMOCRIPTINE MESYLATE,-7.6,-8.3,-7.3,-6.9,-7.7,-7.4,-9.4,-7.0,-5.5,-6.4,-8.1,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
BSS PLUS; SODIUM PHOSPHATE,-3.3,-5.7,-2.8,-4.7,-2.8,-6.2,-5.0,-3.8,-1.7,-5.0,-6.9,O=P([O-])([O-])O
BUDESONIDE; BUDESONIDE,-5.5,-7.9,-7.0,-4.3,-5.2,-6.1,-7.6,-5.2,-5.6,-2.5,-8.0,CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
BUMETANIDE; BUMETANIDE,-6.4,-7.7,-6.7,-4.5,-5.9,-8.3,-8.7,-5.3,-5.8,-5.8,-6.3,CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1
BUNAVAIL; NALOXONE HYDROCHLORIDE,-4.4,-5.1,-6.2,-4.8,-6.7,-5.4,-5.8,-4.9,-5.6,-5.5,-6.2,C=CC[N@H+]1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
BUPHENYL; SODIUM PHENYLBUTYRATE,-5.3,-4.9,-4.3,-2.5,-4.5,-8.0,-6.6,-4.1,-3.1,-6.9,-5.9,O=C([O-])CCCc1ccccc1
BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE; BUPIVACAINE HYDROCHLORIDE,-9.3,-8.8,-7.1,-5.0,-6.8,-7.1,-7.5,-5.3,-4.9,-5.7,-7.6,Cn1c(=O)c2ccc(-c3ccc4cn[nH]c4c3)cc2n2nc(-c3ccccc3)cc12
BUSPAR; BUSPIRONE HYDROCHLORIDE,-7.2,-7.8,-5.4,-4.9,-5.3,-7.2,-6.5,-4.7,-4.4,-5.1,-6.0,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
BUTOCONAZOLE NITRATE; BUTOCONAZOLE NITRATE,-10.0,-8.8,-6.1,-5.0,-6.3,-7.8,-8.0,-5.5,-5.5,-5.5,-6.7,Clc1ccc(CC[C@H](Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
BUTORPHANOL TARTRATE; BUTORPHANOL TARTRATE,-4.1,-4.1,-4.0,-5.2,-5.3,-5.6,-4.8,-4.8,-6.8,-4.3,-6.5,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)[N@H+](CC1CCC1)CC3
BUTRANS; BUPRENORPHINE,-6.0,-8.3,-3.2,-4.8,-5.6,-6.0,-7.1,-6.1,-6.0,-4.8,-7.1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CC[N@H+]1CC1CC1)[C@H]2O5
CABERGOLINE; CABERGOLINE,-8.4,-8.6,-6.7,-6.3,-7.3,-7.3,-9.7,-5.1,-7.5,-6.3,-5.9,C=CCN1C[C@H](C(=O)N(CCC[NH+](C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
CAFERGOT; ERGOTAMINE TARTRATE,-7.2,-10.9,-9.0,-6.6,-7.4,-7.1,-7.0,-7.4,-7.9,-6.6,-8.3,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
CALAN SR; VERAPAMIL HYDROCHLORIDE,-4.7,-8.3,-5.8,-5.1,-6.0,-5.9,-6.1,-4.0,-5.7,-2.6,-5.8,COc1ccc(CC[N@H+](C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
CALCIJEX; CALCITRIOL,-7.8,-8.2,-6.4,-5.9,-7.0,-7.3,-6.7,-4.5,-6.5,-4.0,-6.3,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE,-8.6,-10.0,-6.7,-6.3,-6.8,-7.0,-7.8,-3.9,-6.8,-3.3,-5.5,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
"CALCIUM CARBONATE, FAMOTIDINE AND MAGNESIUM HYDROXIDE; FAMOTIDINE",-8.5,-7.0,-6.4,-6.0,-7.8,-7.9,-8.9,-6.5,-5.9,-8.0,-9.5,[NH-]S(=O)(=O)/N=C(\N)CCSCc1csc(N=C(N)N)n1
CAM-AP-ES; RESERPINE,-9.4,-5.3,-6.3,-5.2,-3.2,-3.8,-5.4,-4.9,-3.7,-3.0,-4.6,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CC[N@@H+]3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
CAMOQUIN HYDROCHLORIDE; AMODIAQUINE HYDROCHLORIDE,-6.9,-6.3,-6.9,-5.0,-4.3,-6.8,-7.0,-2.9,-5.2,-6.6,-4.2,CC[NH+](CC)Cc1cc(Nc2cc[nH+]c3cc(Cl)ccc23)ccc1O
CAMPTOSAR; IRINOTECAN HYDROCHLORIDE,-8.0,-7.9,-7.8,-8.8,-6.7,-4.8,-6.3,-4.8,-2.8,-2.2,-7.1,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CANTIL; MEPENZOLATE BROMIDE,-7.2,-9.5,-6.2,-4.6,-5.5,-7.6,-6.9,-5.0,-5.3,-5.9,-6.6,C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
CAPITROL; CHLOROXINE,-7.4,-5.8,-5.5,-3.1,-5.1,-5.0,-7.7,-5.3,-5.2,-5.9,-4.9,[O-]c1c(Cl)cc(Cl)c2cccnc12
CAPOTEN; CAPTOPRIL,-5.5,-5.3,-5.9,-3.7,-4.1,-6.2,-6.9,-3.9,-4.4,-4.2,-6.3,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-]
CAPRELSA; VANDETANIB,-8.8,-7.5,-5.8,-5.7,-6.7,-7.8,-8.2,-5.0,-6.2,-5.7,-5.9,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CC[NH+](C)CC1
CARBACHOL; CARBACHOL,-2.5,-3.5,-3.8,-3.1,-2.9,-2.8,-3.5,-3.6,-3.7,-2.8,-2.6,C[N+](C)(C)CCOC(N)=O
CARBAMAZEPINE; CARBAMAZEPINE,-5.4,-6.8,-5.1,-5.1,-6.4,-5.8,-5.2,-3.5,-5.1,-5.1,-6.3,NC(=O)N1c2ccccc2C=Cc2ccccc21
CARBIDOPA AND LEVODOPA; CARBIDOPA,-2.7,-6.4,-5.5,-6.7,-4.1,-5.6,-5.6,-6.7,-5.5,-2.2,-5.3,C[C@@](Cc1ccc(O)c(O)c1)([NH2+]N)C(=O)[O-]
"CARBIDOPA, LEVODOPA AND ENTACAPONE; ENTACAPONE",-6.0,-6.7,-6.0,-5.6,-3.3,-6.6,-6.6,-4.8,-4.4,-6.1,-5.0,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c([O-])c([N+](=O)[O-])c1
CARBINOXAMINE MALEATE; CARBINOXAMINE MALEATE,-7.2,-7.4,-4.9,-4.6,-5.6,-5.8,-5.9,-3.8,-4.6,-5.0,-5.5,C[NH+](C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1
"CARBON DIOXIDE, USP; CARBON DIOXIDE",-2.7,-1.7,-2.0,-1.3,-1.9,-1.5,-1.7,-1.7,-0.9,-1.1,-1.0,O=C=O
CARBOPLATIN; CARBOPLATIN,-5.6,-4.7,-4.2,-2.9,-4.0,-6.0,-10.9,-4.3,-3.7,-4.7,-6.2,O=C([O-])C1(C(=O)O)CCC1
CARDENE IN 0.83% SODIUM CHLORIDE IN PLASTIC CONTAINER; NICARDIPINE HYDROCHLORIDE,-9.4,-8.9,-7.2,-6.2,-7.5,-7.7,-9.0,-6.1,-5.9,-7.2,-6.2,C=C1N=C(C)[C@@H](C(=O)OC)[C@H](c2cccc([N+](=O)[O-])c2)[C@@H]1C(=O)OCCN(C)Cc1ccccc1
CARDIZEM CD; DILTIAZEM HYDROCHLORIDE,-6.1,-5.2,-5.4,-4.7,-6.4,-4.4,-4.6,-4.7,-5.7,-4.4,-5.4,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=O)cc1
CARDRASE; ETHOXZOLAMIDE,-6.4,-6.6,-4.7,-3.9,-4.1,-4.9,-6.2,-4.6,-4.4,-7.2,-5.3,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
CARNITOR; LEVOCARNITINE,-3.2,-2.1,-3.5,-5.4,-4.0,-6.1,-5.3,-3.6,-4.6,-4.7,-6.9,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
CARTEOLOL HYDROCHLORIDE; CARTEOLOL HYDROCHLORIDE,-5.7,-5.1,-5.6,-5.5,-6.4,-6.6,-5.6,-5.9,-5.4,-6.5,-6.6,CC(C)(C)[NH2+]C[C@@H](O)COc1cccc2c1CCC(=O)N2
CARVEDILOL; CARVEDILOL,-10.0,-9.3,-7.5,-8.7,-7.1,-7.9,-11.1,-6.6,-6.2,-8.1,-9.4,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12
CATAPRES-TTS-1; CLONIDINE,-5.1,-6.8,-3.5,-3.1,-3.8,-4.3,-6.3,-4.1,-3.8,-3.9,-4.5,Clc1cccc(Cl)c1N=C1NCCN1
CATAPRES; CLONIDINE HYDROCHLORIDE,-4.3,-6.8,-3.6,-2.9,-3.8,-4.4,-6.5,-4.1,-3.8,-3.8,-4.5,Clc1cccc(Cl)c1NC1=[NH+]CCN1
CECLOR CD; CEFACLOR,-8.0,-6.9,-5.0,-4.9,-7.3,-5.4,-8.8,-6.5,-4.8,-6.7,-6.4,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CS[C@H]12)c1ccccc1
CEDAX; CEFTIBUTEN DIHYDRATE,-7.2,-6.8,-5.6,-5.7,-5.9,-8.6,-8.1,-5.8,-3.8,-5.5,-6.9,Nc1nc(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23)cs1
CEFADROXIL; CEFADROXIL/CEFADROXIL HEMIHYDRATE,-8.7,-6.8,-5.0,-6.6,-8.0,-6.8,-9.0,-4.7,-5.4,-6.0,-6.3,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
CEFDINIR; CEFDINIR,-7.7,-6.8,-5.4,-5.3,-6.0,-6.9,-10.1,-4.8,-4.3,-6.9,-7.2,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N=O)c3csc(N)n3)[C@H]2SC1
CEFEPIME AND DEXTROSE IN DUPLEX CONTAINER; CEFEPIME HYDROCHLORIDE,-5.0,-6.0,-5.8,-4.6,-5.5,-5.9,-7.5,-4.1,-5.1,-4.1,-6.3,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1
CEFIXIME; CEFIXIME,-8.1,-8.7,-5.8,-7.5,-7.2,-8.3,-12.2,-6.0,-3.5,-5.1,-7.7,C=CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N/OCC(=O)[O-])c3csc(N)n3)[C@H]2SC1
CEFUROXIME AND DEXTROSE IN DUPLEX CONTAINER; CEFUROXIME SODIUM,-7.3,-9.3,-5.0,-5.6,-7.6,-7.7,-6.8,-4.5,-5.8,-6.0,-7.5,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1
CEFUROXIME; CEFUROXIME,-8.0,-8.0,-5.7,-6.0,-7.9,-6.2,-7.3,-4.5,-6.1,-7.0,-7.5,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1
CELEBREX; CELECOXIB,-8.8,-8.5,-5.5,-6.1,-5.1,-7.8,-6.4,-5.2,-5.3,-5.6,-6.6,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1
CELESTONE; BETAMETHASONE,-4.1,-6.5,-6.4,-6.1,-5.5,-7.3,-5.8,-5.9,-6.2,-4.1,-7.6,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CELEXA; CITALOPRAM HYDROBROMIDE,-3.3,-7.5,-4.3,-5.4,-4.3,-6.9,-7.8,-3.7,-5.3,-6.3,-6.7,C[NH+](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
CEPHALEXIN; CEPHALEXIN,-8.1,-3.5,-5.0,-6.5,-6.5,-6.8,-9.1,-6.2,-3.6,-7.4,-6.9,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1
